name of body; position x; position y; position z
saturn;-5.13294838943705;7.529142259583501;0.07355723716340352
uranus;18.869248085848916;-6.850487100269988;-0.2702373045728088
neptune;22.116292692467013;-20.341406877243173;-0.09044861853764721
sun;0.005913164201001367;0.00037028269442877164;-0.0001646296410595778
jupiter;-3.5915706881682326;-4.0743238537571695;0.09724535670616774
saturn;-6.598308550603921;6.37469352078812;0.15193537965802117
uranus;19.260713319978414;-5.6933169177340766;-0.2710300648434544
neptune;22.79558135995587;-19.561457762199183;-0.12211843772786882
sun;0.005148770384684998;0.0014253646818633483;-0.00015794126192604315
jupiter;-1.4215153575193247;-5.148790299531834;0.053143359408382634
saturn;-7.863517188132715;4.882589933552613;0.2282113694159532
uranus;19.5933563289075;-4.447359301300059;-0.27073061241513496
neptune;23.483374347899808;-18.713120814387455;-0.15539055716960873
